Tournament,Date,Surface,player_0,Higher_rank,player_1,Lower_rank,result,player_0_match_win_ratio_hard,player_1_match_win_ratio_hard,player_0_match_win_ratio_ao,player_1_match_win_ratio_ao,player_0_match_win_ratio_last_year,player_1_match_win_ratio_last_year,player_0_match_win_ratio_last_year_hard,player_1_match_win_ratio_last_year_hard,player_0_set_win_ratio_last_year_hard,player_1_set_win_ratio_last_year_hard,player_0_match_win_ratio_hh,player_0_match_win_ratio_hh_hard,player_0_set_win_ratio_hh_hard,player_0_match_win_ratio_hh_ao,player_0_match_win_ratio_hh_last_year,player_0_set_win_ratio_hh_last_year,player_0_match_win_ratio_hh_last_year_hard,player_0_set_win_ratio_hh_last_year_hard,diff_match_win_ratio_hard,diff_match_win_ratio_ao,diff_match_win_ratio_last_year,diff_match_win_ratio_last_year_hard,diff_set_win_ratio_last_year_hard
Australian Open,2010/01/18,Hard,Gonzalez F.,11.0,Rochus O.,59.0,1,0.45454545454545453,0.3673469387755102,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.75,1.0,0.6,0.6,0.6,0.6,0.5435992578849722,0.5,0.5,0.5,0.5
Australian Open,2010/01/18,Hard,Ljubicic I.,24.0,Kubler J.,86.0,1,0.5757575757575758,0.5,0.5714285714285714,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.5378787878787878,0.5357142857142857,0.5,0.5,0.5
Australian Open,2010/01/18,Hard,Stepanek R.,13.0,Karlovic I.,39.0,0,0.5211267605633803,0.5336134453781513,0.45454545454545453,0.55,0.5,0.44,0.5,0.47368421052631576,0.5,0.5102040816326531,0.25,0.0,0.4,0.0,0.6,0.6,0.6,0.6,0.4937566575926145,0.45227272727272727,0.53,0.5131578947368421,0.49489795918367346
Australian Open,2010/01/18,Hard,Mayer F.,60.0,Petzschner P.,81.0,1,0.4676258992805755,0.45714285714285713,0.5384615384615384,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.6,1.0,0.6,0.6,0.6,0.6,0.5052415210688592,0.5192307692307692,0.5,0.5,0.5
Australian Open,2010/01/18,Hard,Odesnik W.,89.0,Kavcic B.,124.0,1,0.29411764705882354,0.33962264150943394,0.5,0.36363636363636365,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.75,1.0,0.6,0.6,0.6,0.6,0.4772475027746948,0.5681818181818181,0.5,0.5,0.5
Australian Open,2010/01/18,Hard,Roddick A.,7.0,De Bakker T.,80.0,1,0.7155172413793104,0.359375,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6780711206896552,0.65,0.5,0.5,0.5
Australian Open,2010/01/18,Hard,Fish M.,54.0,Golubev A.,131.0,0,0.6610169491525424,0.34328358208955223,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.25,0.0,0.6,0.6,0.6,0.6,0.6588666835314951,0.5,0.5,0.5,0.5
Australian Open,2010/01/18,Hard,Murray A.,4.0,Anderson K.,148.0,1,0.7716763005780347,0.6080691642651297,0.8125,0.6,0.5882352941176471,0.7333333333333333,0.5882352941176471,0.8,0.5333333333333333,0.6923076923076923,0.75,0.6666666666666666,0.5882352941176471,1.0,0.6,0.6,0.6,0.6,0.5818035681564525,0.60625,0.4274509803921569,0.3941176470588235,0.4205128205128205
Australian Open,2010/01/18,Hard,Del Potro J.M.,5.0,Russell M.,90.0,1,0.7427536231884058,0.4117647058823529,0.6842105263157895,0.14285714285714285,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.8333333333333334,1.0,0.6,0.6,0.6,0.6,0.6654944586530265,0.7706766917293233,0.5833333333333333,0.5,0.5
Australian Open,2010/01/18,Hard,Rufin G.,173.0,Tomic B.,289.0,0,0.47368421052631576,0.535,0.5,0.6666666666666666,0.5,0.35,0.5,0.4,0.5,0.391304347826087,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.4693421052631579,0.4166666666666667,0.575,0.55,0.5543478260869565
Australian Open,2010/01/18,Hard,Nadal R.,2.0,Luczak P.,70.0,1,0.80625,0.3076923076923077,0.8444444444444444,0.5,0.8909090909090909,0.5,0.92,0.5,0.8923076923076924,0.5,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.7492788461538462,0.6722222222222223,0.6954545454545454,0.71,0.6961538461538461
Australian Open,2010/01/19,Hard,Verdasco F.,9.0,Ball C.,129.0,1,0.5149253731343284,0.2857142857142857,0.5833333333333334,0.5,0.49019607843137253,0.5,0.48,0.5,0.5342465753424658,0.5,1.0,1.0,0.75,1.0,0.6,0.6,0.6,0.6,0.6146055437100213,0.5416666666666667,0.4950980392156863,0.49,0.5171232876712328
Australian Open,2010/01/19,Hard,Korolev E.,53.0,Brands D.,91.0,1,0.5,0.37662337662337664,0.5,0.2857142857142857,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.5616883116883117,0.6071428571428572,0.5,0.5,0.5
Australian Open,2010/01/19,Hard,Berdych T.,21.0,Haase R.,390.0,1,0.6859296482412061,0.4146341463414634,0.7777777777777778,0.25,0.5714285714285714,0.39285714285714285,0.6,0.4375,0.5636363636363636,0.4358974358974359,0.75,0.6666666666666666,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,0.6356477509498714,0.7638888888888888,0.5892857142857143,0.58125,0.5638694638694639
Australian Open,2010/01/19,Hard,Lu Y.H.,101.0,Sorensen L.,284.0,0,0.4585635359116022,0.5,0.36363636363636365,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.25,0.0,0.6,0.6,0.6,0.6,0.47928176795580113,0.4318181818181818,0.5,0.5,0.5
